text,category,priority
"Hi team, Users in branch offiec report 'DNS_PROBE_FINISHED_NXDOMAIN' on intranet. Entire team is unable to access critical systems. tnx",Network Problem,High
Getting 'account disabled' message when trying to sign in.,Account Issue,Medium
"The finance app throws HTTP 500 internal server error on login. Needs immediae fi,x critical business process impacted.",Software Bug,Critical
Reports in BI dashboard take over 5 minutes to load. This is delaying crtical month-end processing.,Performance Issue,High
Getting intermittent pcket loss when accessing remote desktop. Entire team is unable to acces criticla systems.,Network Problem,High
"Multiple failed login attempts detected on my account overnight. Ptential sceurity brach, please investigate immediately.",Security Incident,High
"fAter the latest update, our ERP cient freees on the login screen. Needs immediate fix, critical business prcoess impacted.",Software Bug,High
"Laptop is extremely slow, apps take minutes to open.",Performance Issue,Low
"Hi team, The finance app throws HTTP 500 internal server error on lgin",Software Bug,High
"Hi team, The finance app throws HTTP 500 internal server error on logn.",Software Bug,Medium
"My AD accunt is locked, can't log into Windows or email. Need urgent help to joni prodcution call.",Account Issue,Critical
Users in branch office report 'DNS_PROBE_FINISHED_NXDOMAIN' on intranet. Entire team is unable to access critical systems.,Network Problem,High
Getting 'account disabled' message when tryign to sgn in. pls,Account Issue,Low
"I lost accss to SAP after role change, getting access denied. User is blokced from on-boarding tsaks.",Access Request,Critical
"Hi team, Remote desktop to production server is laggy and unusable.",Performance Issue,Low
Reports in BI dashboard take over 5 minutes to load. This is delaying critical month-end processing.,Performance Issue,High
"eGtting error 'NullReferenceException' whenever I try to save in the CRM. Needs immediate fix, critical business porcess impacted.",Software Bug,Critical
Monitor flickers and sometimes goes completely black during meetings.,Hardware Issue,Low
Getting 'account dsabled' message when trying to sign in.,Account Issue,Low
"Hi team, New jonier jde needs access to Confluence with standard permission.",Access Request,Medium
SAP transactions are timing out and running very slowly today.,Performance Issue,Medium
Monitor flickers and sometimes goes comletely black during meetings.,Hardware Issue,Medium
"Noticed unnown software installed that I did not approve. Potential security breach, please investigate immediately.",Security Incident,High
"Hi team, Please grant read-only access to SAP for suer r.kumar.",Access Request,Low
"My AD account is loked, cant log into Windows or email. urgnt",Account Issue,Low
Getting error 'NullReferenceException' whenever I try to save in the CRM.,Software Bug,Medium
"Hi tema, Printer in floor 3 is jammed and shows error code E352. This is blocking my wrk and I hae dadlines today.",Hardware Issue,Critical
"Hi team, The finance app throws HTTP 500 internal server error on login",Software Bug,Medium
"I lost access to SAP after role change, getting access denied.",Access Request,Medium
WiFi keeps dropping eery few minutes in meeting room A,Network Problem,Critical
"Hi team, Gettng error 'NullReferenceException' whenever I try to save in the CRM.",Software Bug,Medium
"Noticed unknown softwre installed that I did not approve. Potential security breahc, pleaes investigate immediately.",Security Incident,High
"The keybaord on my desktop is not responding, tried reconnecting USB. This is blocking my work and I have deadilnes today.",Hardware Issue,High
Getting 'account disabled' message when trying to sgn in.,Account Issue,Medium
"Hi team, Received phishing email asing for bank details from fake IT support urgnt",Security Incident,High
New joiner asmith needs access to SAP with standard permissios. User is blocked from on-boarding tasks.,Access Request,High
Remote desktop to production server is laggy and unusable,Performance Issue,High
"My AD account is locked, can't log into Windows or email.",Account Issue,Low
"Received phishing email askng for bank details fom fake IT suppor.t Potential securiy breach, please investigate immediately.",Security Incident,Critical
Outlook keeps crashing with eror 0x80070005 when sending emails.,Software Bug,Medium
Remote dsktop to prodcution server is laggy and unusable.,Performance Issue,Medium
SSO login fails with 'invalid credentials' even after password reset.,Account Issue,Low
Please grat read-only acces to HR portal for user jdoe.,Access Request,Medium
Remote desktop to production servr is laggy and unusable. This is dleaying critical month-end procesing.,Performance Issue,High
Getting intermittent packet loss when accessing rmote desktop,Network Problem,Critical
Antivirus detected Trojan on my mahine connecting to 192 asap,Security Incident,Critical
Pasword reset link for my account has expired multiple tims.,Account Issue,Medium
"After the latest update, our ERP client freezes on the loin screen.",Software Bug,Medium
Printer in floor 3 is jammed and shows error code E230,Hardware Issue,High
WiFi keeps dropping every few minutes in meeting room A. Entire etam is unable to access critical systems.,Network Problem,Critical
The finance app thrwos HTTP 500 internal server error on login.,Software Bug,Medium
"Hi team, Received phishing email asking for bank details from fake IT support. Potential securtiy breach, please investigate immediately.",Security Incident,Critical
Latency to our database server at 10.0.1.132 is over 30ms. Entire team is unale to access critical systems. pls,Network Problem,High
Multiple failed login attempts detected on my account overnight,Security Incident,Critical
Getting intermittent packet loss when accessign remote dsktop. Enitre etam is unable to acess critical systems.,Network Problem,Critical
"My AD account is locked, can't log into Windows or email.",Account Issue,Medium
"The keyboadr on my desktop is not respondng, tried reconnecting USB.",Hardware Issue,Medium
Received phishing email asking for bank detials from faek IT support,Security Incident,Critical
Monitor flickers and sometiems goes completely black during meeting.s pls,Hardware Issue,Medium
WiFi keeps dropping every few minutes in meeting orom A. Entire team is unable to access critical sysetms.,Network Problem,High
Latency to our database server at 10,Network Problem,Critical
Printer in floor 3 is jamemd and shows error code E764. asap,Hardware Issue,Medium
Remote desktop to production server is laggy and unusable. This is delaying critical monh-end processing.,Performance Issue,High
"Laptop is extrmeely slow, apps take minutes to open.",Performance Issue,Medium
Antivirus deected Trojan on my machine connecting to 192.168.9.19.,Security Incident,Low
